name,ingredients,cuisine,description,instructions
Quinoa Stuffed Tomatoes,"Tomato, Quinoa, Zucchini, Onion, Garlic, Herbs, Olive oil",Mediterranean,"Tomatoes filled with quinoa, herbs, and vegetables.","Step-1: Cook quinoa; Step-2: Sauté onion, garlic, and zucchini; Step-3: Mix quinoa with vegetables and herbs; Step-4: Hollow tomatoes and stuff; Step-5: Bake 15 min and serve."
Sweet Potato and Kale Salad,"Sweet potato, Kale, Red onion, Olive oil, Lemon juice, Pumpkin seeds",American,"Healthy salad with roasted sweet potatoes, kale, and dressing.","Step-1: Roast sweet potatoes with olive oil; Step-2: Massage kale with lemon juice; Step-3: Mix kale, sweet potatoes, and onion; Step-4: Top with pumpkin seeds; Step-5: Serve."
Veggie Chili Mac,"Macaroni, Kidney beans, Tomato, Onion, Garlic, Bell pepper, Chili powder",American,Pasta baked with vegetarian chili and cheese.,"Step-1: Cook macaroni; Step-2: Sauté onion, garlic, and bell pepper; Step-3: Add beans, tomatoes, and spices; Step-4: Mix with macaroni; Step-5: Serve hot."
Spinach and Ricotta Cannelloni,"Cannelloni, Spinach, Ricotta, Tomato sauce, Onion, Garlic",Italian,"Pasta tubes filled with ricotta and spinach, baked with tomato sauce.",Step-1: Sauté onion and garlic; Step-2: Mix ricotta with spinach; Step-3: Stuff cannelloni; Step-4: Cover with tomato sauce; Step-5: Bake until golden and serve.
Carrot and Coriander Soup,"Carrot, Onion, Garlic, Vegetable broth, Coriander, Olive oil",British,Smooth carrot soup flavored with fresh coriander.,Step-1: Sauté onion and garlic; Step-2: Add carrots and broth; Step-3: Simmer until carrots are soft; Step-4: Blend until smooth; Step-5: Garnish with coriander and serve.
Tofu and Vegetable Skewers,"Tofu, Bell pepper, Zucchini, Onion, Olive oil, Soy sauce",Chinese,Grilled skewers of tofu and assorted vegetables.,Step-1: Cube tofu and marinate in soy sauce; Step-2: Chop vegetables; Step-3: Thread tofu and vegetables onto skewers; Step-4: Grill until golden; Step-5: Serve hot.
Lentil Shepherd’s Pie,"Lentils, Carrot, Peas, Onion, Mashed potato, Olive oil",British,"Layered dish with lentils, vegetables, and mashed potato topping.","Step-1: Sauté onion, carrot, and peas; Step-2: Add cooked lentils; Step-3: Place mixture in baking dish; Step-4: Top with mashed potato; Step-5: Bake until golden and serve."
Broccoli and Tofu Stir Fry,"Broccoli, Tofu, Garlic, Soy sauce, Sesame oil",Chinese,Stir-fried broccoli and tofu with soy sauce and spices.,Step-1: Cube tofu and sauté until golden; Step-2: Add broccoli and garlic; Step-3: Stir-fry 5 min; Step-4: Add soy sauce; Step-5: Serve immediately.
Quinoa and Roasted Beet Salad,"Quinoa, Beetroot, Feta, Arugula, Olive oil, Lemon juice",Mediterranean,"Protein-rich salad with quinoa, roasted beets, and dressing.","Step-1: Roast beetroot; Step-2: Cook quinoa; Step-3: Mix quinoa, beetroot, and arugula; Step-4: Crumble feta on top; Step-5: Drizzle olive oil and lemon juice, serve."
Vegetable Paella,"Rice, Bell pepper, Green beans, Peas, Onion, Saffron",Spanish,"Spanish rice dish with saffron, bell peppers, peas, tomatoes, and other vegetables.",Step-1: Sauté onion and bell pepper; Step-2: Add rice and saffron; Step-3: Add green beans and peas; Step-4: Simmer until rice is tender; Step-5: Serve hot.
Chickpea and Spinach Tagine,"Chickpeas, Spinach, Carrot, Onion, Garlic, Tomato, Spices",Moroccan,"Moroccan-style stew with chickpeas, spinach, tomatoes, and spices, slow-cooked in a tagine.",Step-1: Sauté onion and garlic; Step-2: Add carrot and spices; Step-3: Add chickpeas and tomatoes; Step-4: Simmer until tender; Step-5: Stir in spinach and serve.
Roasted Butternut Squash Salad,"Butternut squash, Kale, Red onion, Pumpkin seeds, Olive oil, Lemon juice",American,"Salad with roasted butternut squash, greens, nuts, and a light dressing.","Step-1: Roast butternut squash; Step-2: Massage kale with lemon juice; Step-3: Mix kale, squash, and onion; Step-4: Top with pumpkin seeds; Step-5: Serve warm or cold."
Tofu and Peanut Noodles,"Rice noodles, Tofu, Carrot, Cucumber, Peanut butter, Soy sauce",Thai,"Stir-fried noodles with tofu, vegetables, and a creamy peanut sauce.","Step-1: Cook noodles; Step-2: Sauté tofu until golden; Step-3: Mix peanut butter with soy sauce; Step-4: Toss noodles, tofu, and vegetables in sauce; Step-5: Serve immediately."
Stuffed Bell Peppers with Lentils,"Bell peppers, Lentils, Tomato, Onion, Garlic, Olive oil, Spices",Mediterranean,"Bell peppers filled with lentils, rice, and vegetables, baked until tender.",Step-1: Cook lentils; Step-2: Sauté onion and garlic; Step-3: Mix lentils with sautéed vegetables; Step-4: Stuff bell peppers; Step-5: Bake 20 min and serve.
Mushroom Risotto with Peas,"Arborio rice, Mushroom, Onion, Garlic, Peas, Vegetable broth, Olive oil",Italian,Creamy Italian rice dish with mushrooms and green peas.,Step-1: Sauté onion and garlic; Step-2: Add mushrooms and cook; Step-3: Add rice and gradually broth while stirring; Step-4: Add peas and cook 5 min; Step-5: Serve hot.
Zucchini and Tomato Gratin,"Zucchini, Tomato, Onion, Garlic, Olive oil, Parmesan",French,Baked zucchini and tomatoes topped with cheese and breadcrumbs.,Step-1: Slice zucchini and tomato; Step-2: Sauté onion and garlic; Step-3: Layer vegetables and sprinkle Parmesan; Step-4: Bake 25 min; Step-5: Serve warm.
Sweet Potato and Kale Curry,"Sweet potato, Kale, Onion, Garlic, Coconut milk, Curry powder",Indian,Spicy and creamy curry with sweet potatoes and kale.,Step-1: Sauté onion and garlic; Step-2: Add sweet potato and curry powder; Step-3: Pour coconut milk and simmer; Step-4: Add kale and cook 5 min; Step-5: Serve with rice.
Roasted Vegetable Quinoa Bowl,"Quinoa, Zucchini, Bell pepper, Carrot, Olive oil, Lemon juice",Mediterranean,Healthy bowl with roasted vegetables served over quinoa with dressing.,Step-1: Roast vegetables; Step-2: Cook quinoa; Step-3: Mix quinoa and vegetables; Step-4: Drizzle lemon juice; Step-5: Serve warm or cold.
Spinach and Chickpea Soup,"Spinach, Chickpeas, Onion, Garlic, Carrot, Vegetable broth",Middle Eastern,"Hearty soup with chickpeas, spinach, and spices.","Step-1: Sauté onion, garlic, and carrot; Step-2: Add chickpeas and broth; Step-3: Simmer 10 min; Step-4: Add spinach; Step-5: Serve hot."
Roasted Veggie Fajitas,"Bell pepper, Onion, Zucchini, Tortilla, Olive oil, Spices",Mexican,Tortillas filled with roasted vegetables and Mexican spices.,Step-1: Roast vegetables with olive oil and spices; Step-2: Warm tortillas; Step-3: Fill tortillas with vegetables; Step-4: Fold and serve; Step-5: Optional: add salsa.
Lentil and Vegetable Stew,"Lentils, Carrot, Potato, Onion, Garlic, Tomato, Spices",Middle Eastern,"Thick, warming stew made with lentils and assorted vegetables.","Step-1: Sauté onion and garlic; Step-2: Add carrots and potatoes; Step-3: Add lentils, tomatoes, and spices; Step-4: Simmer until tender; Step-5: Serve warm."
Eggplant and Chickpea Stew,"Eggplant, Chickpeas, Tomato, Onion, Garlic, Olive oil, Spices",Middle Eastern,Slow-cooked eggplant and chickpeas in tomato-based sauce.,Step-1: Sauté onion and garlic; Step-2: Add eggplant and cook until soft; Step-3: Add chickpeas and tomatoes; Step-4: Simmer 15 min; Step-5: Serve warm.
Chickpea and Avocado Salad,"Chickpeas, Avocado, Tomato, Cucumber, Lemon juice, Olive oil",Mediterranean,"Fresh salad with chickpeas, avocado, herbs, and lemon dressing.",Step-1: Chop vegetables and avocado; Step-2: Mix with chickpeas; Step-3: Drizzle lemon juice and olive oil; Step-4: Toss gently; Step-5: Serve fresh.
Tofu and Vegetable Curry,"Tofu, Carrot, Peas, Bell pepper, Onion, Coconut milk, Curry powder",Indian,Tofu and vegetables cooked in a flavorful curry sauce.,Step-1: Sauté onion; Step-2: Add vegetables and curry powder; Step-3: Add coconut milk; Step-4: Add tofu and simmer 10 min; Step-5: Serve with rice.
Sweet Potato and Black Bean Tacos,"Sweet potato, Black beans, Tortilla, Onion, Spices",Mexican,"Tacos filled with roasted sweet potatoes, black beans, and spices.",Step-1: Roast sweet potato with spices; Step-2: Sauté onion and beans; Step-3: Warm tortillas; Step-4: Fill with sweet potato and beans; Step-5: Serve hot.
Roasted Cauliflower and Chickpea Bowl,"Cauliflower, Chickpeas, Olive oil, Garlic, Spices",Middle Eastern,"Bowl of roasted cauliflower and chickpeas, served with grains or greens.",Step-1: Roast cauliflower and chickpeas with olive oil and spices; Step-2: Sauté garlic; Step-3: Mix roasted veggies with garlic; Step-4: Serve warm; Step-5: Optional: top with tahini.
Vegetable Biryani,"Basmati rice, Carrot, Peas, Potato, Onion, Tomato, Spices",Indian,Aromatic rice dish with assorted vegetables and Indian spices.,Step-1: Sauté onion and spices; Step-2: Add vegetables and cook 5 min; Step-3: Add rice; Step-4: Cover and cook until rice is done; Step-5: Serve with yogurt.
Spinach and Feta Wrap,"Tortilla, Spinach, Feta, Tomato, Olive oil",Mediterranean,"Wrap with spinach, feta cheese, and vegetables.",Step-1: Chop spinach and tomato; Step-2: Mix with feta; Step-3: Spread mixture on tortilla; Step-4: Roll tightly; Step-5: Serve fresh.
Roasted Vegetable Pasta,"Pasta, Zucchini, Bell pepper, Eggplant, Tomato sauce, Olive oil",Italian,Pasta tossed with roasted seasonal vegetables and olive oil.,Step-1: Roast vegetables; Step-2: Cook pasta; Step-3: Toss pasta with roasted vegetables and tomato sauce; Step-4: Drizzle olive oil; Step-5: Serve hot.
Chickpea and Quinoa Salad,"Chickpeas, Quinoa, Cucumber, Tomato, Lemon juice, Olive oil",Mediterranean,"Protein-rich salad with chickpeas, quinoa, vegetables, and dressing.",Step-1: Cook quinoa; Step-2: Chop vegetables; Step-3: Mix with chickpeas; Step-4: Drizzle lemon juice and olive oil; Step-5: Serve fresh.
Sweet Potato and Spinach Quesadilla,"Tortilla, Sweet potato, Spinach, Onion, Cheese",Mexican,"Tortilla filled with mashed sweet potatoes, spinach, and cheese, grilled.",Step-1: Roast sweet potato; Step-2: Sauté onion and spinach; Step-3: Place mixture and cheese on tortilla; Step-4: Cook on pan until golden; Step-5: Serve hot.
Roasted Veggie and Hummus Sandwich,"Bread, Zucchini, Bell pepper, Eggplant, Hummus",Mediterranean,Sandwich with roasted vegetables and hummus spread.,Step-1: Roast vegetables; Step-2: Spread hummus on bread; Step-3: Layer vegetables; Step-4: Assemble sandwich; Step-5: Serve.
Lentil and Vegetable Shepherd’s Pie,"Lentils, Carrot, Peas, Onion, Mashed potatoes, Olive oil",British,"Layered dish with lentils, vegetables, and mashed potato topping.","Step-1: Sauté onion, carrot, and peas; Step-2: Add lentils; Step-3: Place in baking dish; Step-4: Top with mashed potatoes; Step-5: Bake 20 min and serve."
Spinach and Mushroom Risotto,"Arborio rice, Spinach, Mushroom, Onion, Garlic, Vegetable broth, Olive oil",Italian,"Creamy risotto with spinach, mushrooms, and Parmesan cheese.",Step-1: Sauté onion and garlic; Step-2: Add mushrooms and cook; Step-3: Add rice and gradually broth; Step-4: Add spinach; Step-5: Serve hot.
Chickpea and Roasted Veggie Wrap,"Tortilla, Chickpeas, Zucchini, Bell pepper, Hummus",Mediterranean,"Wrap filled with roasted vegetables, chickpeas, and sauce.",Step-1: Roast vegetables; Step-2: Mash chickpeas lightly; Step-3: Spread hummus on tortilla; Step-4: Add chickpeas and roasted veggies; Step-5: Roll and serve.
Rasgulla,"Chhena (paneer), Sugar, Water, Cardamom",Bengali,"Soft, spongy balls made from chhena (Indian cottage cheese) in sugar syrup.","Step-1: Make soft chhena from milk; Step-2: Knead chhena until smooth; Step-3: Roll into small balls; Step-4: Boil sugar syrup and add balls; Step-5: Cook 15 min, cool, and serve."
Sandesh,"Chhena, Sugar, Cardamom, Saffron",Bengali,"Bengali sweet made with fresh chhena and sugar, sometimes flavored with cardamom or saffron.",Step-1: Prepare soft chhena; Step-2: Mash chhena with sugar; Step-3: Add cardamom and saffron; Step-4: Shape into small flat discs; Step-5: Chill and serve.
Mishti Doi,"Yogurt, Milk, Jaggery or Sugar",Bengali,"Sweetened yogurt, often flavored with cardamom or jaggery.",Step-1: Boil milk and reduce slightly; Step-2: Sweeten with jaggery; Step-3: Cool to warm temperature; Step-4: Mix yogurt starter; Step-5: Set in a clay pot for 6-8 hours and serve.
Cham Cham,"Chhena, Sugar, Water, Cardamom, Rose syrup",Bengali,"Cylindrical chhena-based sweet soaked in sugar syrup, often colored.",Step-1: Make chhena and knead smooth; Step-2: Roll into oval shapes; Step-3: Boil sugar syrup; Step-4: Cook chhena in syrup 10-12 min; Step-5: Cool and soak in rose syrup.
Pantua,"Chhena, Flour, Sugar, Ghee",Bengali,"Deep-fried chhena balls soaked in sugar syrup, similar to gulab jamun.",Step-1: Mix chhena with flour; Step-2: Shape into balls; Step-3: Deep fry until golden; Step-4: Boil sugar syrup; Step-5: Soak fried balls in syrup and serve.
Kheer,"Rice, Milk, Sugar, Cardamom, Nuts",Bengali,"Indian rice pudding cooked with milk, sugar, and flavored with cardamom and nuts.","Step-1: Wash rice and soak 15 min; Step-2: Boil milk and add rice; Step-3: Cook slowly until thick; Step-4: Add sugar, cardamom, and nuts; Step-5: Serve warm or chilled."
Roshogolla,"Chhena, Sugar, Water, Rose water",Bengali,"Soft, spongy chhena balls in light sugar syrup, similar to Rasgulla.",Step-1: Make smooth chhena; Step-2: Roll into small balls; Step-3: Boil sugar syrup; Step-4: Add balls and cook 10 min; Step-5: Add rose water and serve.
Nolen Gur Sandesh,"Chhena, Nolen gur (date palm jaggery), Cardamom",Bengali,"Sandesh flavored with date palm jaggery (nolen gur), giving a caramel-like taste.",Step-1: Knead chhena smooth; Step-2: Mix melted nolen gur; Step-3: Add cardamom; Step-4: Shape into discs or balls; Step-5: Chill and serve.
Labanga Latika,"Khoya, Sugar, Ghee, Cardamom, Flour, Clove",Bengali,"Sweet pastry filled with khoya or coconut, folded, and fried, often flavored with cloves.",Step-1: Make dough from flour and ghee; Step-2: Prepare sweet khoya filling; Step-3: Wrap filling in dough and seal with clove; Step-4: Fry until golden; Step-5: Dip in sugar syrup and serve.
Chhena Poda,"Chhena, Sugar, Semolina, Cardamom",Bengali,"Baked chhena dessert from Odisha, slightly caramelized on top.","Step-1: Mix chhena, sugar, semolina, cardamom; Step-2: Pour into greased pan; Step-3: Bake 30-40 min until brown; Step-4: Cool; Step-5: Slice and serve."
Misti Pulao,"Rice, Milk, Sugar, Nuts, Saffron",Bengali,"Sweet rice dish cooked with sugar, ghee, and dried fruits.",Step-1: Wash and soak rice; Step-2: Boil milk with sugar and saffron; Step-3: Add rice and cook until tender; Step-4: Garnish with nuts; Step-5: Serve warm or chilled.
Patishapta,"Rice flour, Jaggery, Coconut, Khoya",Bengali,"Bengali crepes filled with coconut, khoya, or jaggery.",Step-1: Make thin crepes from rice flour; Step-2: Prepare sweet coconut-khoya filling; Step-3: Fill crepes and roll; Step-4: Arrange on plate; Step-5: Serve warm.
Kumror Chutney Dessert,"Pumpkin, Jaggery, Milk, Cardamom",Bengali,Sweet preparation made from pumpkin and sugar/jaggery.,Step-1: Boil pumpkin until soft; Step-2: Mash pumpkin; Step-3: Cook with jaggery and milk; Step-4: Add cardamom; Step-5: Serve warm or chilled.
Chhena Malpua,"Chhena, Flour, Sugar, Milk, Cardamom",Bengali,"Fried pancakes soaked in sugar syrup, made from chhena and flour.",Step-1: Mix chhena with flour and milk; Step-2: Prepare batter; Step-3: Fry small pancakes in ghee; Step-4: Boil sugar syrup; Step-5: Dip malpuas and serve.
Payesh,"Rice, Milk, Sugar, Cardamom, Nutmeg",Bengali,"Bengali rice pudding similar to Kheer, flavored with milk, sugar, and cardamom.",Step-1: Boil milk; Step-2: Add rice and cook until soft; Step-3: Add sugar and spices; Step-4: Simmer 10 min; Step-5: Garnish with nuts and serve.
Khira Moa,"Chhena, Sugar, Cardamom",Bengali,Small sweet balls made from chhena and khoya.,Step-1: Make soft chhena; Step-2: Mash and knead with sugar; Step-3: Add cardamom; Step-4: Shape into small balls; Step-5: Serve chilled.
Chhena Barfi,"Chhena, Sugar, Cardamom, Ghee",Bengali,"Fudge-like sweet made from chhena, sugar, and sometimes flavored with nuts.",Step-1: Knead chhena; Step-2: Cook with sugar over low heat; Step-3: Add cardamom; Step-4: Pour into greased tray; Step-5: Cool and cut into squares.
Dudh Puli,"Rice flour, Coconut, Jaggery, Milk",Bengali,"Steamed rice flour dumplings filled with jaggery and coconut, served with milk.",Step-1: Mix rice flour and milk to make dough; Step-2: Prepare coconut-jaggery filling; Step-3: Shape dough around filling; Step-4: Steam puli; Step-5: Serve warm.
Nolen Gur Payesh,"Rice, Milk, Nolen Gur, Cardamom",Bengali,Rice pudding sweetened with date palm jaggery (nolen gur).,Step-1: Boil milk; Step-2: Add rice and cook until soft; Step-3: Add melted nolen gur; Step-4: Add cardamom; Step-5: Serve warm or chilled.
Ras Malai,"Chhena, Milk, Sugar, Cardamom, Saffron",Bengali,Soft chhena balls soaked in thickened sweetened milk flavored with cardamom.,Step-1: Make chhena balls; Step-2: Boil in sugar syrup; Step-3: Boil milk with sugar and saffron; Step-4: Add chhena balls to milk; Step-5: Chill and serve.
Chhena Gaja,"Chhena, Sugar, Flour",Bengali,Deep-fried chhena cakes soaked in sugar syrup.,Step-1: Knead chhena; Step-2: Mix with flour and shape rectangles; Step-3: Deep fry until golden; Step-4: Soak in sugar syrup; Step-5: Serve chilled.
Patisapta Roll,"Rice flour, Khoya, Coconut, Jaggery",Bengali,"Crepe rolls filled with coconut, jaggery, and khoya.","Step-1: Make thin crepes; Step-2: Mix khoya, coconut, jaggery; Step-3: Fill and roll crepes; Step-4: Arrange rolls; Step-5: Serve warm."
Narikel Naru,"Coconut, Jaggery, Cardamom",Bengali,Sweet coconut balls made with grated coconut and jaggery.,Step-1: Grate coconut; Step-2: Cook with jaggery; Step-3: Add cardamom; Step-4: Cool mixture; Step-5: Roll into balls and serve.
Chhena Pera,"Chhena, Sugar, Cardamom, Ghee",Bengali,"Sweetened chhena (cottage cheese) rounds, sometimes fried or baked.",Step-1: Mix chhena with sugar; Step-2: Shape into balls; Step-3: Fry lightly in ghee; Step-4: Cook in sugar syrup; Step-5: Serve.
Labra Mishti,"Mixed fruits, Milk, Sugar, Jaggery",Bengali,"Traditional Bengali mixed sweet, often made from khoya, jaggery, and coconut.",Step-1: Boil chopped fruits; Step-2: Add milk and sugar; Step-3: Simmer until thick; Step-4: Add jaggery; Step-5: Cool and serve.
Kheer Kadam,"Chhena, Khoya, Sugar, Cardamom",Bengali,Small rasgulla-like chhena balls coated with khoya (milk solids).,Step-1: Prepare small chhena balls; Step-2: Roll in sweet khoya mixture; Step-3: Shape evenly; Step-4: Chill 2 hours; Step-5: Serve.
Rosh Malai Peda,"Chhena, Milk, Sugar, Saffron, Cardamom",Bengali,"Soft milk-based sweet shaped like peda, soaked in syrup.","Step-1: Boil milk; Step-2: Knead chhena; Step-3: Cook chhena in milk; Step-4: Add sugar, saffron, cardamom; Step-5: Chill and serve."
Chhena Jhili,"Chhena, Sugar, Water, Ghee",Bengali,"Deep-fried chhena sweet soaked in sugar syrup, from Odisha.",Step-1: Make soft chhena; Step-2: Shape into discs; Step-3: Deep fry in ghee; Step-4: Boil sugar syrup; Step-5: Soak fried discs in syrup.
Mishti Pithe,"Rice flour, Coconut, Jaggery, Milk",Bengali,"Traditional rice flour-based Bengali sweets, often filled with coconut or jaggery.",Step-1: Mix rice flour with milk to make batter; Step-2: Prepare coconut-jaggery filling; Step-3: Fill batter in molds; Step-4: Steam until cooked; Step-5: Serve warm.
Chhena Kheeri,"Chhena, Milk, Sugar, Cardamom",Bengali,Bengali-style rice pudding made with chhena and milk.,Step-1: Boil milk; Step-2: Add chhena pieces; Step-3: Cook until soft; Step-4: Add sugar and cardamom; Step-5: Serve chilled or warm.
Patishapta with Nolen Gur,"Rice flour, Nolen Gur, Coconut, Khoya",Bengali,Crepes filled with date palm jaggery and coconut/khoya mixture.,"Step-1: Make thin crepes; Step-2: Mix coconut, khoya, nolen gur; Step-3: Fill crepes; Step-4: Roll and arrange; Step-5: Serve warm."
Rasmalai Cupcakes,"Chhena, Sugar, Milk, Cardamom",Bengali,"Modern dessert inspired by rasmalai, chhena-based cupcakes soaked in milk syrup.",Step-1: Prepare chhena balls; Step-2: Boil sugar syrup; Step-3: Cook chhena in milk with cardamom; Step-4: Place in cupcake cups; Step-5: Chill and serve.
Chhena Bhapa,"Chhena, Sugar, Khoya, Cardamom",Bengali,"Steamed chhena sweet, often flavored with cardamom.",Step-1: Mix chhena with sugar and khoya; Step-2: Add cardamom; Step-3: Pour into greased cups; Step-4: Steam 15 min; Step-5: Serve warm.
Kumror Sandesh,"Pumpkin, Chhena, Sugar, Cardamom",Bengali,"Pumpkin-based sweet, made with khoya or chhena.",Step-1: Cook pumpkin and mash; Step-2: Mix with chhena and sugar; Step-3: Add cardamom; Step-4: Shape into small discs; Step-5: Chill and serve.
Moa with Nolen Gur,"Rice puffs, Nolen Gur, Coconut, Sugar",Bengali,Small balls made from puffed rice and date palm jaggery.,Step-1: Roast rice puffs lightly; Step-2: Melt nolen gur with sugar; Step-3: Mix with rice puffs; Step-4: Shape into balls; Step-5: Serve.
Chhena Payesh,"Chhena, Milk, Sugar, Cardamom",Bengali,"Rice pudding made with chhena and milk, flavored with cardamom.",Step-1: Boil milk; Step-2: Add chhena; Step-3: Cook until soft; Step-4: Add sugar and cardamom; Step-5: Serve chilled.
Rasgulla Roll,"Chhena, Sugar, Coconut, Cardamom",Bengali,"Rolled version of soft, spongy chhena balls soaked in sugar syrup.",Step-1: Make soft chhena balls; Step-2: Boil in sugar syrup; Step-3: Roll in grated coconut and cardamom; Step-4: Chill; Step-5: Serve.
Kacha Aamer Sandesh,"Chhena, Raw mango pulp, Sugar, Cardamom",Bengali,Sandesh flavored with raw mango pulp for a fruity taste.,Step-1: Prepare chhena; Step-2: Mix with raw mango pulp and sugar; Step-3: Add cardamom; Step-4: Shape into discs; Step-5: Chill and serve.
Nolen Gur Barfi,"Chhena, Nolen Gur, Cardamom",Bengali,Fudge-like sweet made with date palm jaggery (nolen gur) and khoya.,Step-1: Knead chhena; Step-2: Add melted nolen gur; Step-3: Mix with cardamom; Step-4: Pour into tray; Step-5: Cool and cut into squares.
Patishapta Dessert,"Rice flour, Coconut, Khoya, Sugar",Bengali,Bengali crepe with coconut and khoya/jaggery filling.,Step-1: Make thin crepes; Step-2: Prepare sweet filling; Step-3: Fill crepes; Step-4: Roll and arrange; Step-5: Serve warm.
Chhena Rasmalai,"Chhena, Milk, Sugar, Cardamom",Bengali,"Soft chhena balls soaked in sweetened, thickened milk.",Step-1: Boil milk with sugar; Step-2: Prepare chhena balls; Step-3: Boil balls in sugar syrup; Step-4: Add to milk with cardamom; Step-5: Chill and serve.
Nolen Gur Payesh Rolls,"Rice, Milk, Nolen Gur, Cardamom",Bengali,Rolls of rice pudding sweetened with date palm jaggery.,Step-1: Boil milk; Step-2: Add rice and cook until soft; Step-3: Mix melted nolen gur; Step-4: Pour into molds; Step-5: Chill and serve.
Chhena Pitha,"Chhena, Rice flour, Jaggery, Coconut",Bengali,Traditional steamed or fried rice flour and chhena sweet.,Step-1: Knead chhena with rice flour; Step-2: Prepare coconut-jaggery filling; Step-3: Shape dough with filling; Step-4: Steam or fry; Step-5: Serve warm.
Labanga Moa,"Chhena, Khoya, Sugar, Clove",Bengali,"Sweet balls flavored with cloves, made with chhena and jaggery.",Step-1: Knead chhena with khoya; Step-2: Add sugar; Step-3: Shape into small balls; Step-4: Insert clove on top; Step-5: Chill and serve.
Moa Sandesh,"Rice puffs, Chhena, Sugar, Cardamom",Bengali,"Puffed rice and chhena sweet balls, lightly sweetened with jaggery.",Step-1: Roast rice puffs; Step-2: Mix chhena with sugar; Step-3: Add cardamom; Step-4: Mix with rice puffs; Step-5: Shape into balls and serve.
Prawn Malai Curry,"Prawns, Coconut milk, Onion, Garlic, Ginger, Turmeric, Chili",Bengali,Creamy curry with prawns cooked in coconut milk and spices.,"Step-1: Sauté onion, garlic, ginger; Step-2: Add turmeric and chili; Step-3: Add prawns and cook 5 min; Step-4: Pour coconut milk and simmer 10 min; Step-5: Serve with rice."
Lau Chingri (Bottle Gourd & Prawns),"Bottle gourd, Prawns, Onion, Garlic, Mustard oil, Spices",Bengali,Bengali dish with prawns and bottle gourd cooked in mustard-based sauce.,Step-1: Sauté onion and garlic in mustard oil; Step-2: Add chopped bottle gourd; Step-3: Cook until soft; Step-4: Add prawns and spices; Step-5: Simmer and serve with rice.
Shukto,"Bitter gourd, Eggplant, Pumpkin, Carrot, Mustard seeds, Coconut",Bengali,"Bengali mixed vegetable stew with bitter gourd, lightly spiced and tempered.",Step-1: Boil vegetables until soft; Step-2: Sauté mustard seeds; Step-3: Add vegetables with coconut; Step-4: Cook 10 min; Step-5: Serve warm.
Macher Jhol,"Fish, Potato, Tomato, Mustard oil, Turmeric, Chili",Bengali,"Traditional Bengali fish curry with light broth, vegetables, and spices.",Step-1: Heat mustard oil and sauté turmeric; Step-2: Add fish pieces and fry lightly; Step-3: Add potato and tomato; Step-4: Simmer 15 min; Step-5: Serve with rice.
Kosha Mangsho,"Goat meat, Onion, Garlic, Yogurt, Spices",Bengali,Slow-cooked spicy Bengali-style mutton curry.,Step-1: Marinate meat in yogurt and spices; Step-2: Sauté onion and garlic; Step-3: Add meat and cook until tender; Step-4: Add water and simmer 30 min; Step-5: Serve hot with rice.
Chicken Kabsa,"Chicken, Rice, Onion, Garlic, Tomato, Spices",Arabian,Aromatic Saudi rice dish with chicken and spices.,"Step-1: Sauté onion, garlic, and spices; Step-2: Brown chicken; Step-3: Add tomato and rice; Step-4: Add water and simmer until rice cooked; Step-5: Serve hot."
Lamb Mandi,"Lamb, Rice, Onion, Garlic, Cardamom, Cinnamon",Arabian,"Yemeni-style rice and lamb dish, slow-cooked with spices.",Step-1: Sauté onion and spices; Step-2: Brown lamb; Step-3: Add rice and water; Step-4: Cook in covered pot 30-40 min; Step-5: Serve garnished with fried onions.
Chicken Machboos,"Chicken, Rice, Onion, Tomato, Spices",Arabian,Spiced chicken rice dish from Gulf cuisine.,Step-1: Sauté onion and spices; Step-2: Brown chicken; Step-3: Add rice and water; Step-4: Simmer until rice and chicken tender; Step-5: Serve hot.
Kunafa with Pistachio,"Kunafa pastry, Cheese, Sugar syrup, Pistachio",Arabian,"Middle Eastern dessert with shredded pastry, cheese, syrup, and pistachios.",Step-1: Layer kunafa with butter; Step-2: Add cheese and pistachio; Step-3: Top with pastry; Step-4: Bake 25 min; Step-5: Pour sugar syrup before serving.
Muhammara,"Roasted red peppers, Walnuts, Olive oil, Garlic, Pomegranate molasses",Middle Eastern,Spicy roasted red pepper and walnut dip from Levant region.,"Step-1: Roast peppers; Step-2: Blend peppers, walnuts, garlic, olive oil, pomegranate molasses; Step-3: Adjust seasoning; Step-4: Chill; Step-5: Serve with bread."
Harira,"Lentils, Chickpeas, Tomato, Onion, Celery, Spices",Moroccan,"Moroccan lentil and chickpea soup, often served during Ramadan.","Step-1: Sauté onion, celery, spices; Step-2: Add lentils, chickpeas, tomato; Step-3: Add water and simmer 30 min; Step-4: Adjust seasoning; Step-5: Serve hot."
Moroccan Carrot Soup,"Carrot, Onion, Garlic, Ginger, Spices",Moroccan,Creamy spiced carrot soup with Moroccan flavors.,"Step-1: Sauté onion, garlic, ginger; Step-2: Add chopped carrot and spices; Step-3: Add water and simmer 20 min; Step-4: Blend until smooth; Step-5: Serve warm."
Harissa Roasted Vegetables,"Carrot, Zucchini, Bell pepper, Harissa paste, Olive oil",Moroccan,Oven-roasted vegetables coated in spicy North African harissa paste.,Step-1: Preheat oven; Step-2: Toss vegetables with olive oil and harissa; Step-3: Roast 25 min; Step-4: Stir halfway; Step-5: Serve hot.
